Time,NodeID,Alleles,STATE_MALE
509,1,X,100980
509,1,Y,100980
510,1,X,100854
510,1,Y,100854
511,1,X,101205
511,1,Y,101205
512,1,X,100833
512,1,Y,100833
513,1,X,100826
513,1,Y,100826
514,1,X,100903
514,1,Y,100903
515,1,X,100737
515,1,Y,100737
516,1,X,100906
516,1,Y,100906
517,1,X,100927
517,1,Y,100927
518,1,X,101104
518,1,Y,101104
519,1,X,101263
519,1,Y,101263
520,1,X,101039
520,1,Y,101039
521,1,X,101166
521,1,Y,101166
522,1,X,101487
522,1,Y,101487
523,1,X,101345
523,1,Y,101345
524,1,X,101542
524,1,Y,101542
525,1,X,101546
525,1,Y,101546
526,1,X,101556
526,1,Y,101556
527,1,X,101459
527,1,Y,101459
528,1,X,101357
528,1,Y,101357
529,1,X,101567
529,1,Y,101567
530,1,X,101555
530,1,Y,101555
531,1,X,101478
531,1,Y,101478
532,1,X,101642
532,1,Y,101642
533,1,X,101721
533,1,Y,101721
534,1,X,101581
534,1,Y,101581
535,1,X,101591
535,1,Y,101591
536,1,X,101537
536,1,Y,101537
537,1,X,101370
537,1,Y,101370
538,1,X,101388
538,1,Y,101388
539,1,X,101619
539,1,Y,101619
540,1,X,101702
540,1,Y,101702
541,1,X,101740
541,1,Y,101740
542,1,X,101597
542,1,Y,101597
543,1,X,101963
543,1,Y,101963
544,1,X,102158
544,1,Y,102158
545,1,X,102012
545,1,Y,102012
546,1,X,102270
546,1,Y,102270
547,1,X,102230
547,1,Y,102230
548,1,X,102057
548,1,Y,102057
549,1,X,101765
549,1,Y,101765
550,1,X,101692
550,1,Y,101692
551,1,X,101729
551,1,Y,101729
552,1,X,101585
552,1,Y,101585
553,1,X,101456
553,1,Y,101456
554,1,X,101463
554,1,Y,101463
555,1,X,101559
555,1,Y,101559
556,1,X,101512
556,1,Y,101512
557,1,X,101313
557,1,Y,101313
558,1,X,101254
558,1,Y,101254
559,1,X,101062
559,1,Y,101062
560,1,X,101251
560,1,Y,101251
561,1,X,101338
561,1,Y,101338
562,1,X,101451
562,1,Y,101451
563,1,X,101526
563,1,Y,101526
564,1,X,101260
564,1,Y,101260
565,1,X,101333
565,1,Y,101333
566,1,X,101313
566,1,Y,101313
567,1,X,101162
567,1,Y,101162
568,1,X,101057
568,1,Y,101057
569,1,X,101026
569,1,Y,101026
570,1,X,100990
570,1,Y,100990
571,1,X,100871
571,1,Y,100871
572,1,X,100789
572,1,Y,100789
573,1,X,100885
573,1,Y,100885
574,1,X,100988
574,1,Y,100988
575,1,X,101123
575,1,Y,101123
576,1,X,101060
576,1,Y,101060
577,1,X,100975
577,1,Y,100975
578,1,X,101101
578,1,Y,101101
579,1,X,101388
579,1,Y,101388
580,1,X,101476
580,1,Y,101476
581,1,X,101354
581,1,Y,101354
582,1,X,101194
582,1,Y,101194
583,1,X,101185
583,1,Y,101185
584,1,X,101202
584,1,Y,101202
585,1,X,101298
585,1,Y,101298
586,1,X,101499
586,1,Y,101499
587,1,X,101452
587,1,Y,101452
588,1,X,101618
588,1,Y,101618
589,1,X,101260
589,1,Y,101260
590,1,X,101039
590,1,Y,101039
591,1,X,101043
591,1,Y,101043
592,1,X,100948
592,1,Y,100948
593,1,X,100859
593,1,Y,100859
594,1,X,100908
594,1,Y,100908
595,1,X,101016
595,1,Y,101016
596,1,X,100910
596,1,Y,100910
597,1,X,101071
597,1,Y,101071
598,1,X,100986
598,1,Y,100986
599,1,X,101176
599,1,Y,101176
600,1,X,101262
600,1,Y,101262
601,1,X,101006
601,1,Y,101006
602,1,X,100913
602,1,Y,100913
603,1,X,100953
603,1,Y,100953
604,1,X,100807
604,1,Y,100807
605,1,X,100523
605,1,Y,100523
606,1,X,100568
606,1,Y,100568
607,1,X,100492
607,1,Y,100492
608,1,X,100266
608,1,Y,100266
609,1,X,100425
609,1,Y,100425
610,1,X,100391
610,1,Y,100391
611,1,X,100440
611,1,Y,100440
612,1,X,100550
612,1,Y,100550
613,1,X,100816
613,1,Y,100816
614,1,X,101018
614,1,Y,101018
615,1,X,100892
615,1,Y,100892
616,1,X,100845
616,1,Y,100845
617,1,X,100878
617,1,Y,100878
618,1,X,100861
618,1,Y,100861
619,1,X,100714
619,1,Y,100714
620,1,X,100749
620,1,Y,100749
621,1,X,101031
621,1,Y,101031
622,1,X,101036
622,1,Y,101036
623,1,X,101277
623,1,Y,101277
624,1,X,101201
624,1,Y,101201
625,1,X,101268
625,1,Y,101268
626,1,X,101422
626,1,Y,101422
627,1,X,101187
627,1,Y,101187
628,1,X,100854
628,1,Y,100854
629,1,X,100720
629,1,Y,100720
630,1,X,100815
630,1,Y,100815
631,1,X,100587
631,1,Y,100587
632,1,X,100664
632,1,Y,100664
633,1,X,100976
633,1,Y,100976
634,1,X,100959
634,1,Y,100959
635,1,X,100725
635,1,Y,100725
636,1,X,100721
636,1,Y,100721
637,1,X,100684
637,1,Y,100684
638,1,X,100762
638,1,Y,100762
639,1,X,101036
639,1,Y,101036
640,1,X,100925
640,1,Y,100925
641,1,X,100803
641,1,Y,100803
642,1,X,100697
642,1,Y,100697
643,1,X,100837
643,1,Y,100837
644,1,X,100976
644,1,Y,100976
645,1,X,101256
645,1,Y,101256
646,1,X,101444
646,1,Y,101444
647,1,X,101321
647,1,Y,101321
648,1,X,100997
648,1,Y,100997
649,1,X,101001
649,1,Y,101001
650,1,X,100963
650,1,Y,100963
651,1,X,100746
651,1,Y,100746
652,1,X,100770
652,1,Y,100770
653,1,X,100528
653,1,Y,100528
654,1,X,100589
654,1,Y,100589
655,1,X,100544
655,1,Y,100544
656,1,X,100502
656,1,Y,100502
657,1,X,100829
657,1,Y,100829
658,1,X,101073
658,1,Y,101073
659,1,X,101149
659,1,Y,101149
660,1,X,101166
660,1,Y,101166
661,1,X,101215
661,1,Y,101215
662,1,X,101151
662,1,Y,101151
663,1,X,101170
663,1,Y,101170
664,1,X,101112
664,1,Y,101112
665,1,X,101229
665,1,Y,101229
666,1,X,101242
666,1,Y,101242
667,1,X,101239
667,1,Y,101239
668,1,X,101227
668,1,Y,101227
669,1,X,101371
669,1,Y,101371
670,1,X,101262
670,1,Y,101262
671,1,X,101133
671,1,Y,101133
672,1,X,101066
672,1,Y,101066
673,1,X,101011
673,1,Y,101011
674,1,X,101006
674,1,Y,101006
675,1,X,101153
675,1,Y,101153
676,1,X,100992
676,1,Y,100992
677,1,X,101157
677,1,Y,101157
678,1,X,101213
678,1,Y,101213
679,1,X,101190
679,1,Y,101190
680,1,X,101138
680,1,Y,101138
681,1,X,101063
681,1,Y,101063
682,1,X,101323
682,1,Y,101323
683,1,X,101376
683,1,Y,101376
684,1,X,101544
684,1,Y,101544
685,1,X,101529
685,1,Y,101529
686,1,X,101419
686,1,Y,101419
687,1,X,101388
687,1,Y,101388
688,1,X,101517
688,1,Y,101517
689,1,X,101559
689,1,Y,101559
690,1,X,101347
690,1,Y,101347
691,1,X,101383
691,1,Y,101383
692,1,X,101189
692,1,Y,101189
693,1,X,101275
693,1,Y,101275
694,1,X,101236
694,1,Y,101236
695,1,X,101201
695,1,Y,101201
696,1,X,101144
696,1,Y,101144
697,1,X,101321
697,1,Y,101321
698,1,X,101233
698,1,Y,101233
699,1,X,101079
699,1,Y,101079
700,1,X,100934
700,1,Y,100934
701,1,X,101084
701,1,Y,101084
702,1,X,100906
702,1,Y,100906
703,1,X,101123
703,1,Y,101123
704,1,X,101030
704,1,Y,101030
705,1,X,101304
705,1,Y,101304
706,1,X,101192
706,1,Y,101192
707,1,X,101171
707,1,Y,101171
708,1,X,101590
708,1,Y,101590
709,1,X,101625
709,1,Y,101625
710,1,X,101886
710,1,Y,101886
711,1,X,101500
711,1,Y,101500
712,1,X,101563
712,1,Y,101563
713,1,X,101499
713,1,Y,101499
714,1,X,101404
714,1,Y,101404
715,1,X,101516
715,1,Y,101516
716,1,X,101566
716,1,Y,101566
717,1,X,101594
717,1,Y,101594
718,1,X,101445
718,1,Y,101445
719,1,X,101460
719,1,Y,101460
720,1,X,101093
720,1,Y,101093
721,1,X,100753
721,1,Y,100753
722,1,X,100868
722,1,Y,100868
723,1,X,101000
723,1,Y,101000
724,1,X,100885
724,1,Y,100885
725,1,X,100859
725,1,Y,100859
726,1,X,100819
726,1,Y,100819
727,1,X,100952
727,1,Y,100952
728,1,X,101021
728,1,Y,101021
729,1,X,101075
729,1,Y,101075
730,1,X,101129
730,1,Y,101129
731,1,X,101190
