Time,NodeID,Alleles,VectorPopulation
671,1,Y,0
672,1,X,101354
672,1,Y,0
673,1,X,101523
673,1,Y,0
674,1,X,101171
674,1,Y,0
675,1,X,101338
675,1,Y,0
676,1,X,101621
676,1,Y,0
677,1,X,101355
677,1,Y,0
678,1,X,101295
678,1,Y,0
679,1,X,101408
679,1,Y,0
680,1,X,101363
680,1,Y,0
681,1,X,101341
681,1,Y,0
682,1,X,101604
682,1,Y,0
683,1,X,101329
683,1,Y,0
684,1,X,101230
684,1,Y,0
685,1,X,101333
685,1,Y,0
686,1,X,101183
686,1,Y,0
687,1,X,101130
687,1,Y,0
688,1,X,101022
688,1,Y,0
689,1,X,100881
689,1,Y,0
690,1,X,100817
690,1,Y,0
691,1,X,100830
691,1,Y,0
692,1,X,100618
692,1,Y,0
693,1,X,100750
693,1,Y,0
694,1,X,100871
694,1,Y,0
695,1,X,101073
695,1,Y,0
696,1,X,101082
696,1,Y,0
697,1,X,100835
697,1,Y,0
698,1,X,101010
698,1,Y,0
699,1,X,101242
699,1,Y,0
700,1,X,101004
700,1,Y,0
701,1,X,100868
701,1,Y,0
702,1,X,100681
702,1,Y,0
703,1,X,101055
703,1,Y,0
704,1,X,100898
704,1,Y,0
705,1,X,100988
705,1,Y,0
706,1,X,100791
706,1,Y,0
707,1,X,101215
707,1,Y,0
708,1,X,101111
708,1,Y,0
709,1,X,100966
709,1,Y,0
710,1,X,100904
710,1,Y,0
711,1,X,100603
711,1,Y,0
712,1,X,100664
712,1,Y,0
713,1,X,100968
713,1,Y,0
714,1,X,100873
714,1,Y,0
715,1,X,100998
715,1,Y,0
716,1,X,100932
716,1,Y,0
717,1,X,101002
717,1,Y,0
718,1,X,101101
718,1,Y,0
719,1,X,101342
719,1,Y,0
720,1,X,101270
720,1,Y,0
721,1,X,101473
721,1,Y,0
722,1,X,101404
722,1,Y,0
723,1,X,101588
723,1,Y,0
724,1,X,101332
724,1,Y,0
725,1,X,101360
725,1,Y,0
726,1,X,101323
726,1,Y,0
727,1,X,101496
727,1,Y,0
728,1,X,101328
728,1,Y,0
729,1,X,101265
729,1,Y,0
730,1,X,101212
730,1,Y,0
731,1,X,101320
731,1,Y,0
732,1,X,101423
732,1,Y,0
733,1,X,101187
