Time,NodeID,Species,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor, VECTOR_WOLBACHIA_FREE, VECTOR_WOLBACHIA_A, VECTOR_WOLBACHIA_B, VECTOR_WOLBACHIA_AB,AvailableHabitat,EggCrowdingCorrection
38,340461476,funestus,1000,3780,14,174,3592,4837,7174,101233,160880,80440,1309,4,0,0,627,0,366,115,0,3780,0,0,0,15764.8,0.104723
38,340461476,gambiae,1000,37402,157,1704,35541,47386,87985,890407,1959400,979700,13320,33,0,0,3622,0,3652,1310,0,37402,0,0,0,180920,0.0732875
39,340461476,arabiensis,1000,35084,199,1527,33358,44324,74041,871490,1761720,880860,5759,11,5981,7,3607,0,3448,539,601,35084,0,0,0,117049,0.0827708
39,340461476,funestus,1000,3981,17,185,3779,4986,7449,105132,149480,74740,1262,3,0,0,668,0,346,121,0,3981,0,0,0,16139,0.097991
39,340461476,gambiae,1000,36654,218,1658,34778,46642,87731,969719,1752480,876240,11537,21,0,0,3882,0,3466,1164,0,36654,0,0,0,128658,0.0923341
40,340461476,arabiensis,1000,33696,240,1524,31932,43071,79047,887290,1659200,829600,5417,7,5578,9,3115,0,3378,536,589,33696,0,0,0,125839,0.0664402
40,340461476,funestus,1000,4166,20,191,3955,5206,7627,108985,173200,86600,1417,2,0,0,690,0,357,148,0,4166,0,0,0,16516.5,0.107968
40,340461476,gambiae,1000,34981,250,1650,33081,45226,93636,985830,1852840,926420,12207,18,0,0,3025,0,3476,1222,0,34981,0,0,0,139869,0.0734147
41,340461476,arabiensis,1000,32031,266,1499,30266,41736,84070,910381,1785120,892560,5568,21,5644,22,2656,0,3205,565,551,32031,0,0,0,120576,0.075843
41,340461476,funestus,1000,4344,24,203,4117,5368,7926,112744,187520,93760,1499,5,0,0,734,0,406,150,0,4344,0,0,0,16945.7,0.0953609
41,340461476,gambiae,1000,33116,274,1580,31262,43645,99505,1012299,1866520,933260,11548,44,0,0,2582,0,3302,1145,0,33116,0,0,0,133209,0.0754888
42,340461476,arabiensis,1000,44864,303,1465,43096,54585,60911,926361,1649720,824860,5161,21,5035,22,16887,0,3076,509,469,44864,0,0,0,125018,0.067545
42,340461476,funestus,1000,4481,29,199,4253,5585,8113,116278,179040,89520,1474,3,0,0,678,0,403,138,0,4481,0,0,0,17558,0.0903674
42,340461476,gambiae,1000,50796,320,1533,48943,61356,67269,1028566,1614880,807440,9933,36,0,0,21790,0,3116,994,0,50796,0,0,0,139633,0.0713674
43,340461476,arabiensis,1000,43356,328,1626,41402,54547,63112,944632,1541280,770640,10923,17,10946,21,5099,0,4343,1122,1142,43356,0,0,0,124769,0.0757813
43,340461476,funestus,1000,4653,32,200,4421,5784,8228,120224,194880,97440,1521,5,0,0,750,0,435,143,0,4653,0,0,0,17716.8,0.0980675
43,340461476,gambiae,1000,48482,335,1832,46315,60940,70530,1050107,1701760,850880,26862,33,0,0,5258,0,4900,2672,0,48482,0,0,0,138116,0.0864664
44,340461476,arabiensis,1000,44314,342,1625,42347,55558,63421,961141,1570520,785260,5954,26,6009,27,6090,0,3964,590,578,44314,0,0,0,124776,0.0809515
44,340461476,funestus,1000,4848,41,189,4618,5978,8437,123557,206240,103120,1643,5,0,0,778,0,423,160,0,4848,0,0,0,18447.6,0.0909116
44,340461476,gambiae,1000,49397,351,1816,47230,61877,70787,1067686,1601240,800620,12267,61,0,0,6857,0,4632,1310,0,49397,0,0,0,138889,0.0811608
45,340461476,arabiensis,1000,44896,377,1637,42882,56388,64861,974544,1428360,714180,5921,31,6164,22,6082,0,4241,596,663,44896,0,0,0,127094,0.0794491
45,340461476,funestus,1000,5061,39,199,4823,6243,8610,127508,212960,106480,1698,6,0,0,838,0,441,184,0,5061,0,0,0,18519.8,0.0894474
45,340461476,gambiae,1000,50315,402,1752,48161,62604,72018,1082639,1399000,699500,12585,42,0,0,6791,0,4656,1217,0,50315,0,0,0,141404,0.0867382
46,340461476,arabiensis,1000,44818,397,1764,42657,57190,76268,978767,3048320,1524160,9919,23,9886,25,6224,0,4330,1038,934,44818,0,0,0,140096,0.0889792
46,340461476,funestus,1000,5204,43,195,4966,6468,9437,130740,213880,106940,1737,8,0,0,780,0,464,173,0,5204,0,0,0,19270.7,0.0869637
46,340461476,gambiae,1000,50101,400,1957,47744,63640,83760,1088898,3765520,1882760,23830,49,0,0,6972,0,4859,2327,0,50101,0,0,0,154282,0.101075
47,340461476,arabiensis,1000,45366,408,1759,43199,57774,85670,997028,1684800,842400,6689,38,6741,27,6167,0,4280,672,667,45366,0,0,0,136211,0.0459583
47,340461476,funestus,1000,5288,45,191,5052,6674,10254,134128,230880,115440,1774,8,0,0,799,0,518,197,0,5288,0,0,0,19825.8,0.0901006
47,340461476,gambiae,1000,50860,429,1934,48497,64323,94715,1106847,1699000,849500,14172,73,0,0,6903,0,4746,1398,0,50860,0,0,0,152307,0.0409724
48,340461476,arabiensis,1000,45928,423,1774,43731,58383,94008,1010041,1678640,839320,6680,36,6634,32,6241,0,4380,648,651,45928,0,0,0,136785,0.0808469
48,340461476,funestus,1000,5435,49,191,5195,6865,11007,137778,237480,118740,1824,4,0,0,858,0,504,207,0,5435,0,0,0,20079.5,0.0858706
48,340461476,gambiae,1000,51364,447,1921,48996,65056,103465,1123004,1773320,886660,14467,59,0,0,6768,0,4818,1446,0,51364,0,0,0,151247,0.0896452
49,340461476,arabiensis,1000,46300,432,1851,44017,59366,100528,1022351,2751080,1375540,9251,26,9286,24,6631,0,4392,935,932,46300,0,0,0,137137,0.0814854
