Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_IMMATURE,STATE_LARVA,STATE_EGG,AvgOocystDurationDays,AvgNumSporozoitesPerVector,NumVectorsWithSporozoites_AA,NumVectorsWithSporozoites_GG,NumVectorsWithSporozoites_Other
54,340461476,X-a1:X-a1,2740,0,0,2740,1997,21701,61425,0,0,0,0,0
54,340461476,X-a1:X-a2,2721,0,0,2721,2024,22184,62475,0,0,0,0,0
54,340461476,X-a2:X-a1,2669,0,0,2669,2021,21980,61725,0,0,0,0,0
54,340461476,X-a2:X-a2,2780,0,0,2780,2130,22967,64875,0,0,0,0,0
55,340461476,X-a1:X-a1,2741,0,0,2741,1981,21771,57100,0,0,0,0,0
55,340461476,X-a1:X-a2,2776,0,0,2776,1990,22134,59700,0,0,0,0,0
55,340461476,X-a2:X-a1,2723,0,0,2723,2047,21967,62200,0,0,0,0,0
55,340461476,X-a2:X-a2,2807,0,0,2807,2092,23101,63200,0,0,0,0,0
56,340461476,X-a1:X-a1,2781,0,0,2781,1947,21717,69400,0,0,0,0,0
56,340461476,X-a1:X-a2,2793,0,0,2793,2060,22062,68000,0,0,0,0,0
56,340461476,X-a2:X-a1,2779,0,0,2779,2047,22135,63350,0,0,0,0,0
56,340461476,X-a2:X-a2,2866,0,0,2866,2074,23171,63550,0,0,0,0,0
57,340461476,X-a1:X-a1,2784,0,0,2784,2063,22042,64725,0,0,0,0,0
57,340461476,X-a1:X-a2,2813,0,0,2813,2104,22189,64575,0,0,0,0,0
57,340461476,X-a2:X-a1,2798,0,0,2798,1996,22268,66075,0,0,0,0,0
57,340461476,X-a2:X-a2,2951,0,0,2951,1993,23072,66925,0,0,0,0,0
58,340461476,X-a1:X-a1,2841,0,0,2841,1988,22134,59800,0,0,0,0,0
58,340461476,X-a1:X-a2,2826,0,0,2826,2031,22339,62100,0,0,0,0,0
58,340461476,X-a2:X-a1,2801,0,0,2801,2055,22339,64550,0,0,0,0,0
58,340461476,X-a2:X-a2,2939,0,0,2939,2060,23010,64550,0,0,0,0,0
59,340461476,X-a1:X-a1,2830,0,0,2830,1983,22164,70200,0,0,0,0,0
59,340461476,X-a1:X-a2,2818,0,0,2818,1991,22450,68850,0,0,0,0,0
59,340461476,X-a2:X-a1,2872,0,0,2872,2064,22463,65300,0,0,0,0,0
59,340461476,X-a2:X-a2,2952,0,0,2952,2116,23109,68050,0,0,0,0,0
