Time,NodeID,Alleles,VectorPopulation,STATE_MALE
86,1,X,97622,126622
86,1,Y,0,126622
87,1,Ad,0,3985
87,1,Am,0,0
87,1,Aw,97565,125767
87,1,Bd,0,0
87,1,Bm,0,0
87,1,Bw,97565,125767
87,1,Ce,0,0
87,1,Cm,0,0
87,1,Cw,97565,125767
87,1,X,97565,125767
87,1,Y,0,125767
88,1,Ad,0,3470
88,1,Am,0,0
88,1,Aw,97440,125241
88,1,Bd,0,0
88,1,Bm,0,0
88,1,Bw,97440,125241
88,1,Ce,0,0
88,1,Cm,0,0
88,1,Cw,97440,125241
88,1,X,97440,125241
88,1,Y,0,125241
89,1,Ad,0,3062
89,1,Am,0,0
89,1,Aw,97705,124868
89,1,Bd,0,0
89,1,Bm,0,0
89,1,Bw,97705,124868
89,1,Ce,0,0
89,1,Cm,0,0
89,1,Cw,97705,124868
89,1,X,97705,124868
89,1,Y,0,124868
90,1,Ad,0,2665
90,1,Am,0,0
90,1,Aw,97727,124189
90,1,Bd,0,0
90,1,Bm,0,0
90,1,Bw,97727,124189
90,1,Ce,0,0
90,1,Cm,0,0
90,1,Cw,97727,124189
90,1,X,97727,124189
90,1,Y,0,124189
91,1,Ad,0,2350
91,1,Am,0,0
91,1,Aw,97618,123700
91,1,Bd,0,0
91,1,Bm,0,0
91,1,Bw,97618,123700
91,1,Ce,0,0
91,1,Cm,0,0
91,1,Cw,97618,123700
91,1,X,97618,123700
91,1,Y,0,123700
92,1,Ad,0,2042
92,1,Am,0,0
92,1,Aw,97666,123296
92,1,Bd,0,0
92,1,Bm,0,0
92,1,Bw,97666,123296
92,1,Ce,0,0
92,1,Cm,0,0
92,1,Cw,97666,123296
92,1,X,97666,123296
92,1,Y,0,123296
93,1,Ad,0,1720
93,1,Am,0,0
93,1,Aw,97727,123043
93,1,Bd,0,0
93,1,Bm,0,0
93,1,Bw,97727,123043
93,1,Ce,0,0
93,1,Cm,0,0
93,1,Cw,97727,123043
93,1,X,97727,123043
93,1,Y,0,123043
94,1,Ad,0,1457
94,1,Am,0,0
94,1,Aw,97732,122807
94,1,Bd,0,0
94,1,Bm,0,0
94,1,Bw,97732,122807
94,1,Ce,0,0
94,1,Cm,0,0
94,1,Cw,97732,122807
94,1,X,97732,122807
94,1,Y,0,122807
95,1,Ad,0,1195
95,1,Am,0,0
95,1,Aw,97918,122663
95,1,Bd,0,0
95,1,Bm,0,0
95,1,Bw,97918,122663
95,1,Ce,0,0
95,1,Cm,0,0
95,1,Cw,97918,122663
95,1,X,97918,122663
95,1,Y,0,122663
96,1,Ad,0,993
96,1,Am,0,0
96,1,Aw,97709,122409
96,1,Bd,0,0
96,1,Bm,0,0
96,1,Bw,97709,122409
96,1,Ce,0,0
96,1,Cm,0,0
96,1,Cw,97709,122409
96,1,X,97709,122409
96,1,Y,0,122409
97,1,Ad,0,823
97,1,Am,0,0
97,1,Aw,97328,122218
97,1,Bd,0,0
97,1,Bm,0,0
97,1,Bw,97328,122218
97,1,Ce,0,0
97,1,Cm,0,0
97,1,Cw,97328,122218
97,1,X,97328,122218
97,1,Y,0,122218
98,1,Ad,0,687
98,1,Am,0,0
98,1,Aw,96796,122161
98,1,Bd,0,0
98,1,Bm,0,0
98,1,Bw,96796,122161
98,1,Ce,0,0
98,1,Cm,0,0
98,1,Cw,96796,122161
98,1,X,96796,122161
98,1,Y,0,122161
99,1,Ad,0,572
99,1,Am,0,0
99,1,Aw,96761,121802
99,1,Bd,0,0
99,1,Bm,0,0
99,1,Bw,96761,121802
99,1,Ce,0,0
99,1,Cm,0,0
99,1,Cw,96761,121802
99,1,X,96761,121802
99,1,Y,0,121802
100,1,Ad,0,472
100,1,Am,0,0
100,1,Aw,97018,121613
100,1,Bd,0,0
100,1,Bm,0,0
100,1,Bw,97018,121613
100,1,Ce,0,0
100,1,Cm,0,0
100,1,Cw,97018,121613
100,1,X,97018,121613
100,1,Y,0,121613
101,1,Ad,0,375
101,1,Am,0,0
101,1,Aw,97162,121595
101,1,Bd,0,0
101,1,Bm,0,0
