Time,NodeID,Alleles,VectorPopulation,VectorPopulationNumDied,VectorPopulationAvgAgeAtDeath
65,1,b0,84717,12758,6.73154
65,1,b1,0,0,0
65,1,a0.b0,84717,12758,6.73154
65,1,a1.b1,0,0,0
66,1,X,105245,12675,6.87716
66,1,Y,0,0,0
66,1,a0,105245,12675,6.87716
66,1,a1,0,0,0
66,1,b0,105245,12675,6.87716
66,1,b1,0,0,0
66,1,a0.b0,105245,12675,6.87716
66,1,a1.b1,0,0,0
67,1,X,99157,16976,5.87412
67,1,Y,0,0,0
67,1,a0,99157,16976,5.87412
67,1,a1,0,0,0
67,1,b0,99157,16976,5.87412
67,1,b1,0,0,0
67,1,a0.b0,99157,16976,5.87412
67,1,a1.b1,0,0,0
68,1,X,100207,14011,6.39012
68,1,Y,0,0,0
68,1,a0,100207,14011,6.39012
68,1,a1,0,0,0
68,1,b0,100207,14011,6.39012
68,1,b1,0,0,0
68,1,a0.b0,100207,14011,6.39012
68,1,a1.b1,0,0,0
69,1,X,99859,14517,6.38527
69,1,Y,0,0,0
69,1,a0,99859,14517,6.38527
69,1,a1,0,0,0
69,1,b0,99859,14517,6.38527
69,1,b1,0,0,0
69,1,a0.b0,99859,14517,6.38527
69,1,a1.b1,0,0,0
70,1,X,98572,15614,6.37934
70,1,Y,0,0,0
70,1,a0,98572,15614,6.37934
70,1,a1,0,0,0
70,1,b0,98572,15614,6.37934
70,1,b1,0,0,0
70,1,a0.b0,98572,15614,6.37934
70,1,a1.b1,0,0,0
71,1,X,98546,14208,6.37852
71,1,Y,0,0,0
71,1,a0,98546,14208,6.37852
71,1,a1,0,0,0
71,1,b0,98546,14208,6.37852
71,1,b1,0,0,0
71,1,a0.b0,98546,14208,6.37852
71,1,a1.b1,0,0,0
72,1,X,98433,14459,6.37672
72,1,Y,0,0,0
72,1,a0,98433,14459,6.37672
72,1,a1,0,0,0
72,1,b0,98433,14459,6.37672
72,1,b1,0,0,0
72,1,a0.b0,98433,14459,6.37672
72,1,a1.b1,0,0,0
73,1,X,97323,15343,6.6689
73,1,Y,0,0,0
73,1,a0,97323,15343,6.6689
73,1,a1,0,0,0
73,1,b0,97323,15343,6.6689
73,1,b1,0,0,0
73,1,a0.b0,97323,15343,6.6689
73,1,a1.b1,0,0,0
74,1,X,97413,14217,6.51558
74,1,Y,0,0,0
74,1,a0,97413,14217,6.51558
74,1,a1,0,0,0
74,1,b0,97413,14217,6.51558
74,1,b1,0,0,0
74,1,a0.b0,97413,14217,6.51558
74,1,a1.b1,0,0,0
75,1,X,97344,14403,6.63751
75,1,Y,0,0,0
75,1,a0,97344,14403,6.63751
75,1,a1,0,0,0
75,1,b0,97344,14403,6.63751
75,1,b1,0,0,0
75,1,a0.b0,97344,14403,6.63751
75,1,a1.b1,0,0,0
76,1,X,97039,14752,6.76485
76,1,Y,0,0,0
76,1,a0,97039,14752,6.76485
76,1,a1,0,0,0
76,1,b0,97039,14752,6.76485
76,1,b1,0,0,0
76,1,a0.b0,97039,14752,6.76485
