Time,NodeID,Genome,STATE_MALE
174,1,X-a1:Y-a1,18
175,1,X-a0:Y-a0,119861
175,1,X-a0:Y-a1,742
175,1,X-a1:Y-a0,1354
175,1,X-a1:Y-a1,18
176,1,X-a0:Y-a0,119769
176,1,X-a0:Y-a1,709
176,1,X-a1:Y-a0,1178
176,1,X-a1:Y-a1,16
177,1,X-a0:Y-a0,119485
177,1,X-a0:Y-a1,708
177,1,X-a1:Y-a0,1796
177,1,X-a1:Y-a1,20
178,1,X-a0:Y-a0,119622
178,1,X-a0:Y-a1,698
178,1,X-a1:Y-a0,1689
178,1,X-a1:Y-a1,17
179,1,X-a0:Y-a0,119799
179,1,X-a0:Y-a1,678
179,1,X-a1:Y-a0,1513
179,1,X-a1:Y-a1,16
180,1,X-a0:Y-a0,118404
180,1,X-a0:Y-a1,698
180,1,X-a1:Y-a0,2678
180,1,X-a1:Y-a1,24
181,1,X-a0:Y-a0,118453
181,1,X-a0:Y-a1,719
181,1,X-a1:Y-a0,2505
181,1,X-a1:Y-a1,21
182,1,X-a0:Y-a0,118416
182,1,X-a0:Y-a1,734
182,1,X-a1:Y-a0,2285
182,1,X-a1:Y-a1,21
183,1,X-a0:Y-a0,116951
183,1,X-a0:Y-a1,780
183,1,X-a1:Y-a0,3622
183,1,X-a1:Y-a1,50
184,1,X-a0:Y-a0,117209
184,1,X-a0:Y-a1,822
184,1,X-a1:Y-a0,3403
184,1,X-a1:Y-a1,45
185,1,X-a0:Y-a0,117463
185,1,X-a0:Y-a1,857
185,1,X-a1:Y-a0,3124
185,1,X-a1:Y-a1,43
186,1,X-a0:Y-a0,115955
186,1,X-a0:Y-a1,888
186,1,X-a1:Y-a0,4471
186,1,X-a1:Y-a1,82
187,1,X-a0:Y-a0,116418
187,1,X-a0:Y-a1,939
187,1,X-a1:Y-a0,4147
187,1,X-a1:Y-a1,75
188,1,X-a0:Y-a0,116758
188,1,X-a0:Y-a1,988
188,1,X-a1:Y-a0,3831
