Time, Year, IndividualID, AgeYears, Gender, From_NodeID, To_NodeID, MigrationType, Event,IsInfected, Rel_ID, NumCoitalActs, IsDiscordant, HasMigrated, RelationshipType, RelationshipState, PartnerID, Male_NodeID, Female_NodeID
1447,1964.46,337,52.0527,M,4,1,local,STIPreEmigrating,0,54,164,0,0,MARITAL,PAUSED,194,4,0
1447,1964.46,4,45.8173,F,4,3,local,STIPreEmigrating,0,66,111,0,0,MARITAL,PAUSED,54,0,4
1447,1964.46,4,45.8173,F,3,0,N/A,STIPostImmigrating,0,66,111,0,0,MARITAL,PAUSED,54,0,3
1447,1964.46,337,52.0527,M,1,0,N/A,STIPostImmigrating,0,54,164,0,0,MARITAL,PAUSED,194,1,0
1448,1964.47,336,56.2928,F,4,3,local,STIPreEmigrating,0,70,56,0,0,MARITAL,PAUSED,149,0,4
1448,1964.47,336,56.2928,F,3,0,N/A,STIPostImmigrating,0,70,56,0,0,MARITAL,PAUSED,149,0,3
1449,1964.47,336,56.2956,F,3,4,local,STIPreEmigrating,0,70,56,0,0,MARITAL,PAUSED,149,0,3
1449,1964.47,341,53.0023,M,1,4,local,STIPreEmigrating,0,83,142,0,0,MARITAL,PAUSED,180,1,0
1449,1964.47,341,53.0023,M,4,0,N/A,STIPostImmigrating,0,83,142,0,0,MARITAL,PAUSED,180,4,0
1449,1964.47,336,56.2956,F,4,0,N/A,STIPostImmigrating,0,70,56,0,0,MARITAL,PAUSED,149,0,4
1450,1964.47,58,32.8991,M,1,2,local,STIPreEmigrating,0,168,47,0,0,INFORMAL,PAUSED,61,1,0
1450,1964.47,58,32.8991,M,2,0,N/A,STIPostImmigrating,0,168,47,0,0,INFORMAL,PAUSED,61,2,0
1451,1964.48,341,53.0077,M,4,3,local,STIPreEmigrating,0,83,142,0,0,MARITAL,PAUSED,180,4,0
1451,1964.48,313,37.0334,F,1,4,local,STIPreEmigrating,0,110,72,0,0,MARITAL,PAUSED,69,0,1
1451,1964.48,313,37.0334,F,4,0,N/A,STIPostImmigrating,0,110,72,0,0,MARITAL,PAUSED,69,0,4
1451,1964.48,341,53.0077,M,3,0,N/A,STIPostImmigrating,0,83,142,0,0,MARITAL,PAUSED,180,3,0
1453,1964.48,211,38.0142,F,2,1,local,STIPreEmigrating,0,109,8,0,0,MARITAL,PAUSED,139,0,2
1453,1964.48,211,38.0142,F,1,0,N/A,STIPostImmigrating,0,109,8,0,0,MARITAL,PAUSED,139,0,1
1457,1964.49,249,39.0314,M,1,4,local,STIPreEmigrating,0,165,46,0,0,INFORMAL,PAUSED,321,1,0
1457,1964.49,249,39.0314,M,4,0,N/A,STIPostImmigrating,0,165,46,0,0,INFORMAL,PAUSED,321,4,0
1462,1964.51,23,54.7681,F,4,2,local,STIPreEmigrating,0,62,181,0,0,MARITAL,NORMAL,232,4,4
1462,1964.51,23,54.7681,F,2,0,N/A,STIPostImmigrating,0,62,181,0,0,MARITAL,PAUSED,232,0,2
1463,1964.51,71,31.507,F,2,3,local,STIPreEmigrating,0,167,15,0,0,TRANSITORY,PAUSED,133,0,2
1463,1964.51,177,42.5452,F,1,4,local,STIPreEmigrating,0,32,153,0,0,MARITAL,PAUSED,281,0,1
1463,1964.51,26,39.9203,F,1,4,local,STIPreEmigrating,0,101,127,0,0,MARITAL,PAUSED,37,0,1
1463,1964.51,26,39.9203,F,4,0,N/A,STIPostImmigrating,0,101,127,0,0,MARITAL,PAUSED,37,0,4
1463,1964.51,177,42.5452,F,4,0,N/A,STIPostImmigrating,0,32,153,0,0,MARITAL,NORMAL,281,4,4
1463,1964.51,71,31.507,F,3,0,N/A,STIPostImmigrating,0,167,15,0,0,TRANSITORY,NORMAL,133,3,3
1465,1964.51,101,35.0953,F,4,1,local,STIPreEmigrating,0,24,191,0,0,MARITAL,NORMAL,49,4,4
1465,1964.51,101,35.0953,F,1,0,N/A,STIPostImmigrating,0,24,191,0,0,MARITAL,PAUSED,49,0,1
1466,1964.52,327,59.6793,M,3,2,local,STIPreEmigrating,0,69,127,0,0,MARITAL,PAUSED,290,3,0
1466,1964.52,327,59.6793,M,2,0,N/A,STIPostImmigrating,0,69,127,0,0,MARITAL,NORMAL,290,2,2
1467,1964.52,284,46.7965,M,1,3,local,STIPreEmigrating,0,65,133,0,0,MARITAL,PAUSED,79,1,0
1467,1964.52,284,46.7965,M,3,0,N/A,STIPostImmigrating,0,65,133,0,0,MARITAL,PAUSED,79,3,0
1468,1964.52,49,57.3921,M,4,2,local,STIPreEmigrating,0,24,191,0,0,MARITAL,PAUSED,101,4,0
1468,1964.52,49,57.3921,M,2,0,N/A,STIPostImmigrating,0,24,191,0,0,MARITAL,PAUSED,101,2,0
1469,1964.52,185,37.5492,F,3,4,local,STIPreEmigrating,0,58,155,0,0,MARITAL,PAUSED,75,0,3
1469,1964.52,32,30.2755,F,3,2,local,STIPreEmigrating,0,124,87,0,0,INFORMAL,PAUSED,3,0,3
1469,1964.52,32,30.2755,F,2,0,N/A,STIPostImmigrating,0,124,87,0,0,INFORMAL,PAUSED,3,0,2
1469,1964.52,185,37.5492,F,4,0,N/A,STIPostImmigrating,0,58,155,0,0,MARITAL,PAUSED,75,0,4
