Rel_ID,Node_ID,Rel_start_time,Rel_scheduled_end_time,Rel_actual_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,male_ID,female_ID,male_age,female_age,num_total_coital_acts,Termination_Reason
222,1,1631,2352.85,2353,0,F,273,77,21.9049,19.5385,121,BROKEUP
256,2,2032,2364.38,2365,1,F,3,32,40.528,32.7276,28,BROKEUP
234,1,1798,2386.86,2387,1,F,34,31,22.9364,28.9271,59,BROKEUP
267,1,2092,2418.43,2419,0,F,250,276,18.6614,15.7612,65,BROKEUP
237,2,1843,2421.42,2422,1,F,39,89,23.2228,21.5159,47,BROKEUP
220,1,1607,2438.89,2439,1,F,141,71,32.4374,34.1783,102,BROKEUP
101,2,457,2446.68,2447,2,F,37,26,42.258,42.6134,165,BROKEUP
223,2,1632,2447.69,2448,0,F,251,90,37.5325,31.2038,92,BROKEUP
39,2,11,2452.78,2453,2,F,78,146,62.6178,57.2862,176,BROKEUP
275,2,2168,2452.47,2453,1,F,335,343,18.2813,22.6422,49,BROKEUP
261,2,2059,2501.82,2502,1,F,17,261,33.125,20.4137,113,BROKEUP
252,1,1992,2508.72,2509,1,F,224,325,22.871,23.0107,65,BROKEUP
278,2,2217,2527.04,2528,0,F,192,285,21.7367,26.1076,41,BROKEUP
279,2,2217,2569.9,2570,0,F,144,231,19.3777,14.4881,84,BROKEUP
179,1,1254,2577.21,2578,1,F,318,43,19.7639,20.8153,86,BROKEUP
241,2,1878,2584.94,2585,1,F,157,9,39.3943,29.3632,129,BROKEUP
276,1,2182,2591.08,2592,1,F,195,298,27.2375,23.8393,13,BROKEUP
229,2,1756,2592.6,2593,1,F,13,221,33.5632,23.9726,110,BROKEUP
195,2,1367,2612.02,2613,1,F,312,223,30.5583,20.2702,155,BROKEUP
300,2,2447,2614.68,2615,0,F,250,276,19.1984,16.2982,12,BROKEUP
271,1,2121,2617.96,2618,1,F,24,112,23.2087,22.5033,23,BROKEUP
291,1,2358,2642.15,2643,0,F,10,315,32.295,26.1847,42,BROKEUP
307,1,2514,2644.95,2645,0,F,222,50,27.5202,28.5713,16,BROKEUP
287,2,2339,2646.29,2647,0,F,28,293,20.9407,20.3084,21,BROKEUP
302,1,2455,2655.45,2656,0,F,134,277,17.7193,15.0105,32,BROKEUP
288,3,2345,2656.15,2657,0,F,287,216,21.2267,18.9993,11,BROKEUP
277,1,2195,2660.91,2661,0,F,110,127,18.1991,17.9417,97,BROKEUP
293,1,2371,2661.51,2662,1,F,95,77,18.6959,20.3851,24,BROKEUP
305,2,2492,2669.6,2670,0,F,335,215,18.8758,16.0509,32,BROKEUP
299,2,2438,2678.19,2679,0,F,138,31,26.3491,29.7271,41,BROKEUP
211,3,1552,2681.88,2682,1,F,309,47,29.2767,30.7939,106,BROKEUP
304,2,2492,2681.34,2682,0,F,334,343,21.803,23.2696,12,BROKEUP
213,3,1560,2689.81,2690,1,F,241,210,19.8726,21.3257,186,BROKEUP
273,1,2150,2701.67,2702,1,F,35,258,21.6739,20.0758,23,BROKEUP
269,2,2113,2703.75,2704,0,F,275,264,27.0238,24.7786,47,BROKEUP
284,1,2316,2707.54,2708,0,F,316,130,31.9078,24.3496,58,BROKEUP
232,1,1787,2718.72,2719,1,F,105,319,21.466,22.0225,93,BROKEUP
310,3,2551,2733.31,2734,0,F,39,196,24.0776,16.8949,11,BROKEUP
255,2,2027,2734.81,2735,1,F,289,61,30.7233,33.2291,98,BROKEUP
321,4,2663,2741.75,2742,0,F,273,77,22.9707,20.6043,18,BROKEUP
294,1,2385,2759.03,2760,0,F,3,32,41.6102,33.8098,36,BROKEUP
148,2,983,2762.14,2763,1,F,338,340,22.4541,25.279,159,BROKEUP
219,1,1604,2772.07,2773,1,F,204,306,26.6251,25.991,185,BROKEUP
330,1,2721,2777.06,2778,0,F,316,50,32.0995,28.9357,12,BROKEUP
233,4,1788,2794.01,2795,1,F,175,72,23.4872,18.2353,22,BROKEUP
316,1,2617,2808.51,2809,1,F,82,276,18.5246,16.8297,13,BROKEUP
290,2,2351,2809.68,2810,0,F,104,27,38.5685,24.2618,39,BROKEUP
282,3,2278,2818.11,2819,1,F,62,182,23.9452,20.6465,55,BROKEUP
250,3,1959,2821.57,2822,1,F,161,111,35.295,26.6993,46,BROKEUP
331,3,2721,2829.29,2830,0,F,105,258,21.7701,20.4265,8,BROKEUP
343,3,2792,2840.26,2841,0,F,316,304,32.2721,29.094,15,BROKEUP
248,2,1947,2840.17,2841,0,F,331,5,20.6178,21.0055,48,BROKEUP
295,1,2390,2842.63,2843,1,F,260,152,22.1428,18.5563,25,BROKEUP
292,1,2360,2865.21,2866,1,F,267,160,18.7251,18.5686,47,BROKEUP
333,2,2728,2866.89,2867,0,F,224,319,23.8518,22.428,43,BROKEUP
328,4,2707,2880.48,2881,1,F,133,264,33.6306,25.2635,27,BROKEUP
308,1,2514,2890.34,2891,0,F,297,57,18.7722,16.223,15,BROKEUP
323,3,2672,2891.12,2892,0,F,318,127,20.6242,18.5746,36,BROKEUP
315,1,2591,2893.35,2894,0,F,238,43,26.7831,21.681,56,BROKEUP
337,2,2739,2911.67,2912,0,F,250,196,20.0121,17.3826,55,BROKEUP
283,1,2288,2916.7,2917,0,F,300,214,17.8268,22.8551,49,BROKEUP
317,1,2618,2922.32,2923,0,F,24,231,24.0444,15.4552,31,BROKEUP
351,3,2887,2923.28,2924,0,F,224,258,24.0079,20.6841,10,BROKEUP
311,1,2558,2923.22,2924,0,F,192,268,22.8216,16.2522,22,BROKEUP
345,4,2806,2925.03,2926,0,F,3,321,42.065,30.3508,6,BROKEUP
326,1,2684,2928.84,2929,1,F,34,216,24.4214,19.7445,35,BROKEUP
56,1,40,2944.49,2945,2,F,108,159,34.8155,37.8775,269,BROKEUP
296,2,2397,2955.9,2956,0,F,46,107,24.7289,19.0348,58,BROKEUP
336,1,2731,2957.11,2958,0,F,222,298,28.3777,24.842,12,BROKEUP
354,2,2919,2965.08,2966,0,F,95,88,19.5288,16.603,16,BROKEUP
338,3,2748,2972.24,2973,0,F,39,77,24.7324,21.2372,26,BROKEUP
325,1,2675,2977.32,2978,1,F,262,325,25.2661,24.2956,37,BROKEUP
182,1,1258,3044.42,3045,1,F,256,288,27.959,26.4637,196,BROKEUP
298,1,2435,3049.3,3050,1,F,169,89,32.8561,23.2364,58,BROKEUP
319,4,2641,3050.1,3051,1,F,312,117,31.7583,33.3938,98,BROKEUP
324,1,2675,3053.55,3054,0,F,28,215,22.0558,17.103,29,BROKEUP
297,1,2401,3067.44,3068,0,F,11,148,21.6059,18.1862,41,BROKEUP
274,2,2163,3072.02,3073,0,F,339,94,23.2114,21.12,78,BROKEUP
285,1,2323,3072.85,3073,1,F,303,155,42.7236,37.7133,95,BROKEUP
286,4,2329,3078.5,3079,0,F,114,153,30.7184,21.1272,77,BROKEUP
329,1,2711,3089.92,3090,1,F,334,223,22.9208,21.577,23,BROKEUP
280,1,2239,3096.89,3097,1,F,38,179,20.8045,19.3176,53,BROKEUP
356,1,2923,3103.19,3104,0,F,297,231,19.3558,15.9511,40,BROKEUP
350,2,2869,3112.88,3113,0,F,110,51,19.4374,14.8997,25,BROKEUP
359,1,2936,3144.73,3145,0,F,273,196,24.0748,18.0209,21,BROKEUP
349,1,2844,3153.62,3154,0,F,204,5,27.6689,21.863,47,BROKEUP
374,2,3030,3165.53,3166,0,F,24,279,24.7101,15.4472,18,BROKEUP
322,3,2664,3173.84,3174,1,F,134,277,19.1385,16.4297,51,BROKEUP
392,3,3154,3196.07,3197,0,F,11,196,21.9593,18.1634,2,BROKEUP
373,2,3020,3202.47,3203,0,F,3,304,42.8239,30.0858,48,BROKEUP
242,3,1879,3220.67,3221,1,F,255,129,42.5043,32.6817,97,BROKEUP
367,3,2970,3236.81,3237,0,F,260,216,23.2222,20.5884,75,BROKEUP
366,1,2970,3238.58,3239,0,F,138,132,27.8834,35.5922,1,BROKEUP
40,1,14,3242.25,3243,2,F,236,244,44.5479,35.1256,234,BROKEUP
263,3,2061,3262.15,3263,1,F,74,245,22.7068,18.6606,131,BROKEUP
364,2,2966,3265.05,3266,0,F,241,130,21.4507,25.8784,78,BROKEUP
376,2,3064,3281.64,3282,0,F,238,340,27.8462,26.701,35,BROKEUP
362,4,2953,3284.94,3285,1,F,316,285,33.4886,28.1816,46,BROKEUP
355,1,2923,3303.54,3304,0,F,335,127,20.6128,19.7034,32,BROKEUP
340,2,2775,3326.74,3327,1,F,275,293,28.7307,22.1714,15,BROKEUP
382,1,3087,3337.77,3338,0,F,95,94,20.548,21.846,27,BROKEUP
383,1,3092,3337.72,3338,0,F,28,298,22.8339,25.8831,10,BROKEUP
313,1,2578,3352.15,3353,1,F,102,93,19.4473,18.0183,63,BROKEUP
403,1,3343,3353.94,3354,0,F,342,94,18.1772,21.8898,4,BROKEUP
381,1,3085,3356.85,3357,0,F,331,89,22.0314,24.0775,70,BROKEUP
390,1,3148,3358.88,3359,0,F,333,179,17.1848,20.0354,10,BROKEUP
318,3,2630,3361.66,3362,1,F,195,221,29.3471,26.0794,73,BROKEUP
357,2,2927,3363.1,3364,1,F,144,152,21.553,19.9837,14,BROKEUP
353,2,2898,3367.99,3368,1,F,62,27,25.4493,25.7906,30,BROKEUP
344,1,2794,3379.58,3380,1,F,338,306,24.1445,27.654,16,BROKEUP
394,1,3194,3390.39,3391,1,F,114,9,31.5732,31.5715,17,BROKEUP
363,2,2954,3391.59,3392,0,F,108,111,36.0402,28.2609,24,BROKEUP
289,3,2350,3401.94,3402,0,F,272,97,35.4933,29.0762,42,BROKEUP
370,2,2994,3425.72,3426,1,F,36,160,15.978,20.1028,64,BROKEUP
332,3,2722,3427.8,3428,1,F,157,31,41.7039,31.7791,83,BROKEUP
408,1,3369,3436.41,3437,0,F,267,94,20.2894,22.1172,9,BROKEUP
407,4,3360,3466.32,3467,1,F,134,179,19.9412,20.3313,12,BROKEUP
384,1,3094,3470.76,3471,0,F,34,215,25.9063,18.2455,33,BROKEUP
402,2,3330,3501.09,3502,0,F,110,293,20.5032,22.6508,3,BROKEUP
230,2,1777,3504.54,3505,2,F,165,263,46.4022,43.3821,139,BROKEUP
54,1,33,3504.08,3505,2,F,337,194,57.6883,54.929,291,BROKEUP
377,2,3064,3516.93,3517,0,F,39,182,26.2228,22.5589,16,BROKEUP
412,3,3422,3547.33,3548,0,F,238,27,28.5749,26.2837,13,BROKEUP
397,1,3241,3574.11,3575,2,F,38,279,22.114,16.5678,22,BROKEUP
387,1,3111,3582.27,3583,0,F,125,247,20.0996,16.772,17,BROKEUP
369,2,2973,3594.62,3595,0,F,326,268,19.8141,18.0906,36,BROKEUP
420,1,3492,3611.18,3612,0,F,34,9,26.2926,32.1769,33,BROKEUP
422,2,3541,3617.1,3618,0,F,39,293,26.4996,22.9686,8,BROKEUP
419,4,3490,3634.62,3635,0,F,144,152,22.2955,20.7262,28,BROKEUP
389,1,3121,3643.66,3644,0,F,271,51,18.8012,16.3545,44,BROKEUP
352,4,2893,3646.38,3647,1,F,82,57,20.8205,18.2943,56,BROKEUP
