Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_IMMATURE,STATE_LARVA,STATE_EGG,AvgOocystDurationDays,AvgNumSporozoitesPerVector,NumVectorsWithSporozoites_C*,NumVectorsWithSporozoites_G*,NumVectorsWithSporozoites_Other
76,340461476,X-a1:X-a2,3197,0,0,3197,2277,59239,73500,0,0,0,0,0
76,340461476,X-a2:X-a2,1642,0,0,1642,1280,30771,39275,0,0,0,0,0
77,340461476,X-a1:X-a1,1578,0,0,1578,1113,27158,36700,0,0,0,0,0
77,340461476,X-a1:X-a2,3195,0,0,3195,2409,59248,77650,0,0,0,0,0
77,340461476,X-a2:X-a2,1690,0,0,1690,1307,30828,39750,0,0,0,0,0
78,340461476,X-a1:X-a1,1581,0,0,1581,1089,27323,35175,0,0,0,0,0
78,340461476,X-a1:X-a2,3231,0,0,3231,2425,59281,75150,0,0,0,0,0
78,340461476,X-a2:X-a2,1732,0,0,1732,1250,30804,39075,0,0,0,0,0
79,340461476,X-a1:X-a1,1595,0,0,1595,1061,27532,36125,0,0,0,0,0
79,340461476,X-a1:X-a2,3231,0,0,3231,2488,59344,77150,0,0,0,0,0
79,340461476,X-a2:X-a2,1721,0,0,1721,1316,30802,40325,0,0,0,0,0
80,340461476,X-a1:X-a1,1574,0,0,1574,1063,27623,35150,0,0,0,0,0
80,340461476,X-a1:X-a2,3258,0,0,3258,2481,59525,76800,0,0,0,0,0
80,340461476,X-a2:X-a2,1780,0,0,1780,1298,30818,41850,0,0,0,0,0
81,340461476,X-a1:X-a1,1596,0,0,1596,1091,27534,34225,0,0,0,0,0
81,340461476,X-a1:X-a2,3370,0,0,3370,2457,59600,73650,0,0,0,0,0
81,340461476,X-a2:X-a2,1813,0,0,1813,1302,30990,39425,0,0,0,0,0
82,340461476,X-a1:X-a1,1590,0,0,1590,1092,27529,37200,0,0,0,0,0
82,340461476,X-a1:X-a2,3406,0,0,3406,2427,59615,82700,0,0,0,0,0
82,340461476,X-a2:X-a2,1795,0,0,1795,1338,31027,42700,0,0,0,0,0
83,340461476,X-a1:X-a1,1587,0,0,1587,1100,27611,35525,0,0,0,0,0
83,340461476,X-a1:X-a2,3401,0,0,3401,2475,59814,75650,0,0,0,0,0
83,340461476,X-a2:X-a2,1804,0,0,1804,1283,31137,40325,0,0,0,0,0
84,340461476,X-a1:X-a1,1601,0,0,1601,1094,27586,36650,0,0,0,0,0
84,340461476,X-a1:X-a2,3498,0,0,3498,2420,59894,77900,0,0,0,0,0
84,340461476,X-a2:X-a2,1840,0,0,1840,1225,31199,41050,0,0,0,0,0
85,340461476,X-a1:X-a1,1618,0,0,1618,1074,27711,39250,0,0,0,0,0
85,340461476,X-a1:X-a2,3482,0,0,3482,2398,60035,86050,0,0,0,0,0
85,340461476,X-a2:X-a2,1844,0,0,1844,1202,31240,43900,0,0,0,0,0
86,340461476,X-a1:X-a1,1597,0,0,1597,1093,27719,37150,0,0,0,0,0
86,340461476,X-a1:X-a2,3490,0,0,3490,2415,60279,77700,0,0,0,0,0
86,340461476,X-a2:X-a2,1838,0,0,1838,1187,31221,41050,0,0,0,0,0
87,340461476,X-a1:X-a1,1608,0,0,1608,1110,27879,37950,0,0,0,0,0
87,340461476,X-a1:X-a2,3523,0,0,3523,2412,60193,80550,0,0,0,0,0
