Time,NodeID,Gender,NumIndividuals,NumInfected,NodeProp=DiscoMatangaStatus
238.654,6,M,0,0,OPEN
238.654,6,F,0,0,OPEN
238.654,5,M,0,0,OPEN
238.654,5,F,0,0,OPEN
238.654,4,M,0,0,OPEN
238.654,4,F,0,0,OPEN
238.654,3,M,0,0,OPEN
238.654,3,F,0,0,OPEN
238.654,2,M,0,0,OPEN
238.654,2,F,0,0,OPEN
238.654,1,M,10169,1048,OPEN
238.654,1,F,10210,1050,OPEN
245.673,11,M,0,0,OPEN
245.673,11,F,0,0,OPEN
245.673,10,M,0,0,OPEN
245.673,10,F,0,0,OPEN
245.673,9,M,0,0,OPEN
245.673,9,F,0,0,OPEN
245.673,8,M,0,0,OPEN
245.673,8,F,0,0,OPEN
245.673,7,M,0,0,OPEN
245.673,7,F,0,0,OPEN
245.673,6,M,0,0,OPEN
245.673,6,F,0,0,OPEN
245.673,5,M,0,0,OPEN
245.673,5,F,0,0,OPEN
245.673,4,M,0,0,OPEN
245.673,4,F,0,0,OPEN
245.673,3,M,0,0,OPEN
245.673,3,F,0,0,OPEN
