Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,SillySkeeter_AvailableHabitat,SillySkeeter_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived,NumVectorsNone,NumVectorsOnlyOocysts,NumVectorsOnlySporozoites,NumVectorsBothOocystsSporozoites,NumBitesAdults,NumBitesInfected,NumBitesInfectious,NumParasiteCohortsOocysts,NumParasiteCohortsSporozoites,NumOocysts,NumSporozoites,NumInfectiousToAdult,NumInfectiousToInfected,*AAAAAAAAAAAAAAAAAAAAAAT,OtherBarcodes
17,1,998,879,0,0,879,1641,0,122011,69200,34600,335,0,0,0,0,0,95,39,0,16240.7,0.22265,0,0,0,879,0,0,0,335,0,0,0,0,0,0,0,0,0,0
17,2,1000,885,0,0,885,1702,0,122092,69200,34600,322,0,0,0,0,0,101,33,0,16159.7,0.225775,0,0,0,885,0,0,0,322,0,0,0,0,0,0,0,0,0,0
17,3,1001,915,0,0,915,1766,0,121989,70400,35200,334,0,0,0,0,0,97,28,0,16262.7,0.221739,0,0,0,915,0,0,0,334,0,0,0,0,0,0,0,0,0,0
17,4,1001,948,0,0,948,1632,0,121767,66400,33200,316,0,0,0,0,0,108,30,0,16484.7,0.208824,0,0,0,948,0,0,0,316,0,0,0,0,0,0,0,0,0,0
18,1,998,763,0,0,763,1490,0,126809,51200,25600,245,0,0,0,0,0,96,21,0,16383.5,0.234693,0,0,0,763,0,0,0,245,0,0,0,0,0,0,0,0,0,0
18,2,999,781,0,0,781,1539,0,126755,52800,26400,246,0,0,0,0,0,78,26,0,16437.5,0.233522,0,0,0,781,0,0,0,246,0,0,0,0,0,0,0,0,0,0
18,3,1002,803,0,0,803,1599,0,126633,55600,27800,264,0,0,0,0,0,87,25,0,16559.5,0.231005,0,0,0,803,0,0,0,264,0,0,0,0,0,0,0,0,0,0
18,4,1001,833,0,0,833,1481,0,126907,61800,30900,293,0,0,0,0,0,87,27,0,16285.5,0.248264,0,0,0,833,0,0,0,293,0,0,0,0,0,0,0,0,0,0
19,1,998,666,0,0,666,1336,0,131231,46600,23300,229,0,0,0,0,0,70,27,0,16724.3,0.319991,0,0,0,666,0,0,0,229,0,0,0,0,0,0,0,0,0,0
19,2,1000,674,0,0,674,1402,0,131124,45400,22700,216,0,0,0,0,0,83,24,0,16831.3,0.311317,0,0,0,674,0,0,0,216,0,0,0,0,0,0,0,0,0,0
19,3,1001,694,0,0,694,1455,0,130986,46200,23100,220,0,0,0,0,0,87,22,0,16969.3,0.297834,0,0,0,694,0,0,0,220,0,0,0,0,0,0,0,0,0,0
19,4,1001,745,0,0,745,1325,0,130920,52200,26100,245,0,0,0,0,0,68,20,0,17035.3,0.26352,0,0,0,745,0,0,0,245,0,0,0,0,0,0,0,0,0,0
20,1,998,578,0,0,578,1207,0,135576,46000,23000,217,0,0,0,0,0,62,26,0,16970.5,0.358891,0,0,0,578,0,0,0,217,0,0,0,0,0,0,0,0,0,0
20,2,1000,596,0,0,596,1261,0,135448,45800,22900,218,0,0,0,0,0,63,15,0,17098.5,0.370734,0,0,0,596,0,0,0,218,0,0,0,0,0,0,0,0,0,0
20,3,1001,603,0,0,603,1319,0,135438,48400,24200,225,0,0,0,0,0,71,20,0,17108.5,0.367301,0,0,0,603,0,0,0,225,0,0,0,0,0,0,0,0,0,0
20,4,1001,648,0,0,648,1205,0,135348,45800,22900,213,0,0,0,0,0,79,18,0,17198.5,0.326347,0,0,0,648,0,0,0,213,0,0,0,0,0,0,0,0,0,0
21,1,999,509,0,0,509,1113,0,139464,33600,16800,159,0,0,0,0,0,57,11,0,17508.2,0.368924,0,0,0,509,0,0,0,159,0,0,0,0,0,0,0,0,0,0
21,2,1000,517,0,0,517,1142,0,139333,35000,17500,167,0,0,0,0,0,65,14,0,17639.2,0.373329,0,0,0,517,0,0,0,167,0,0,0,0,0,0,0,0,0,0
21,3,1000,526,0,0,526,1197,0,139571,35000,17500,164,0,0,0,0,0,54,24,0,17401.2,0.353481,0,0,0,526,0,0,0,164,0,0,0,0,0,0,0,0,0,0
