Time,Year,Node_ID,Coital_Act_ID,Rel_ID,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,A_ID,B_ID,A_Gender,B_Gender,A_Age,B_Age,A_IP='Accessibility',B_IP='Accessibility',A_HasIntervention='GoodCircumcision',B_HasIntervention='GoodCircumcision',A_HasIntervention='BadCircumcision',B_HasIntervention='BadCircumcision',A_Is_Infected,B_Is_Infected,Did_Use_Condom,Risk_Multiplier,Transmission_Multiplier,Acquisition_Multiplier,Infection_Was_Transmitted,A_Num_Current_Rels,B_Num_Current_Rels,A_Is_Circumcised,B_Is_Circumcised,A_Has_CoInfection,B_Has_CoInfection,A_HIV_Infection_Stage,B_HIV_Infection_Stage,A_Is_On_ART,B_Is_On_ART
37,1960.6,1,3789,450,0,F,14590,4968,MALE,FEMALE,29.7884,23.6364,No,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3792,467,1,F,14632,2842,MALE,FEMALE,17.6995,21.349,Yes,Yes,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3794,222,1,F,14811,1962,MALE,FEMALE,28.3745,25.528,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3798,499,0,F,14937,10876,MALE,FEMALE,23.5496,15.675,Yes,Yes,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3799,489,0,F,15132,4033,MALE,FEMALE,25.0101,22.4011,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3803,270,1,F,15701,12615,MALE,FEMALE,25.2073,22.5978,No,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3804,283,0,F,15776,2020,MALE,FEMALE,29.4579,28.4046,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3806,376,0,F,16034,8077,MALE,FEMALE,29.8058,33.3138,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3807,329,1,F,16059,6852,MALE,FEMALE,20.8805,15.2928,Yes,No,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3809,529,0,F,16178,14247,MALE,FEMALE,20.5466,17.2467,Yes,Yes,1,0,0,0,1,1,0,1,10,0.1,1,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3810,381,1,F,16183,13891,MALE,FEMALE,25.9137,16.7521,Yes,Yes,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3811,396,0,F,16193,11088,MALE,FEMALE,28.0818,32.2995,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3814,532,0,F,16660,14344,MALE,FEMALE,21.7079,16.3986,No,Yes,1,0,0,0,1,1,0,1,10,0.1,1,1,1,1,0,0,0,0,0,0,0
37,1960.6,1,3818,15,0,F,17271,6428,MALE,FEMALE,23.8893,18.3814,Yes,Yes,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3820,91,0,F,132,5863,MALE,FEMALE,17.5229,21.6065,Yes,No,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3822,206,0,F,521,3119,MALE,FEMALE,19.4935,24.5804,Yes,Yes,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3827,253,1,F,1063,14897,MALE,FEMALE,26.6771,28.6249,No,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3828,253,1,F,1063,14897,MALE,FEMALE,26.6771,28.6249,No,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3829,253,1,F,1063,14897,MALE,FEMALE,26.6771,28.6249,No,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3830,306,0,F,1098,8682,MALE,FEMALE,29.2605,22.0817,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3832,476,1,F,1196,905,MALE,FEMALE,21.0346,15.9264,Yes,No,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3833,476,1,F,1196,905,MALE,FEMALE,21.0346,15.9264,Yes,No,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3846,140,1,F,2411,11931,MALE,FEMALE,27.0806,24.9609,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3847,8,1,F,2506,5357,MALE,FEMALE,26.9415,22.265,Yes,No,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3853,464,1,F,2941,15631,MALE,FEMALE,27.4406,19.2682,Yes,Yes,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3854,464,1,F,2941,15631,MALE,FEMALE,27.4406,19.2682,Yes,Yes,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3855,398,0,F,3096,2955,MALE,FEMALE,27.8481,21.6894,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3859,368,0,F,3791,3183,MALE,FEMALE,22.0899,24.2042,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3860,296,0,F,3894,2997,MALE,FEMALE,20.0759,20.6279,Yes,Yes,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3861,296,0,F,3894,2997,MALE,FEMALE,20.0759,20.6279,Yes,Yes,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3862,124,1,F,4051,7483,MALE,FEMALE,23.9594,23.1622,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3863,159,1,F,4081,16658,MALE,FEMALE,27.1847,17.9486,Yes,No,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3864,159,1,F,4081,16658,MALE,FEMALE,27.1847,17.9486,Yes,No,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3865,184,0,F,4193,13905,MALE,FEMALE,23.482,19.6262,Yes,Yes,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3874,508,1,F,4476,42,MALE,FEMALE,28.3667,23.3142,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3876,537,1,F,4631,7935,MALE,FEMALE,20.5449,19.3317,No,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3877,217,1,F,4699,5445,MALE,FEMALE,20.1267,22.5603,Yes,Yes,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3878,470,0,F,4783,1309,MALE,FEMALE,29.5087,24.033,Yes,No,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3879,470,0,F,4783,1309,MALE,FEMALE,29.5087,24.033,Yes,No,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
38,1960.6,1,3882,280,0,F,4844,12544,MALE,FEMALE,26.9005,18.1844,Yes,No,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
